date,first_name,last_name,hourly_rate,start_time,end_time,hour_in_shift,staff_cost
2024-02-12,Emma,Johnson,10,07:00:00,13:00:00,6.0000,60
2024-02-12,Olivia,Williams,10,07:00:00,13:00:00,6.0000,60
2024-02-12,Emma,Johnson,10,13:00:00,17:00:00,4.0000,40
2024-02-13,Liam,Smith,10,07:00:00,13:00:00,6.0000,60
2024-02-13,Noah,Brown,10,07:00:00,13:00:00,6.0000,60
2024-02-13,Liam,Smith,10,13:00:00,17:00:00,4.0000,40
2024-02-14,Emma,Johnson,10,07:00:00,13:00:00,6.0000,60
2024-02-14,Olivia,Williams,10,07:00:00,13:00:00,6.0000,60
2024-02-14,Olivia,Williams,10,13:00:00,17:00:00,4.0000,40
2024-02-15,Liam,Smith,10,07:00:00,13:00:00,6.0000,60
2024-02-15,Noah,Brown,10,07:00:00,13:00:00,6.0000,60
2024-02-15,Noah,Brown,10,13:00:00,17:00:00,4.0000,40
2024-02-16,Emma,Johnson,10,07:00:00,13:00:00,6.0000,60
2024-02-16,Liam,Smith,10,07:00:00,13:00:00,6.0000,60
2024-02-16,Liam,Smith,10,13:00:00,17:00:00,4.0000,40
2024-02-17,Olivia,Williams,10,07:00:00,13:00:00,6.0000,60
2024-02-17,Noah,Brown,10,07:00:00,13:00:00,6.0000,60
2024-02-17,Noah,Brown,10,13:00:00,17:00:00,4.0000,40
